,0,1,selected,features
402,-0.06,0.04,N,pc_stenot10
403,-0.03,0.11,N,pc_stenot11
404,-0.02,0.14,N,pc_stenot12
405,-0.03,0.01,N,pc_stenot13
406,-0.02,0.1,N,pc_no_germ0
407,-0.08,0.0,N,pc_no_germ1
408,0.0,0.14,N,pc_no_germ2
409,-0.09,0.02,N,pc_no_germ3
410,-0.06,0.03,N,pc_no_germ4
411,-0.03,0.0,N,pc_no_germ5
412,-0.02,0.1,N,pc_no_germ6
413,-0.03,0.09,N,pc_no_germ7
414,-0.01,0.21,N,pc_no_germ8
415,0.0,0.0,N,pc_no_germ9
416,0.0,0.0,N,pc_no_germ10
417,-0.03,0.16,N,pc_no_germ11
418,-0.03,0.13,N,pc_no_germ12
419,-0.02,0.07,N,pc_no_germ13
420,0.0,0.0,N,isVM0
421,-0.01,0.11,N,isVM1
422,0.09,0.2,Y,isVM2
423,-0.05,0.06,N,isVM3
424,-0.11,0.05,N,isVM4
425,-0.06,0.06,N,isVM5
426,-0.03,0.1,N,isVM6
427,0.01,0.13,Y,isVM7
428,-0.04,0.08,N,isVM8
429,-0.05,0.06,N,isVM9
430,-0.04,0.05,N,isVM10
431,0.01,0.15,Y,isVM11
432,-0.04,0.08,N,isVM12
433,-0.06,0.05,N,isVM13
434,0.0,0.14,N,numberOfPatients0
435,-0.06,0.05,N,numberOfPatients1
436,-0.05,0.07,N,numberOfPatients2
437,-0.04,0.08,N,numberOfPatients3
438,-0.03,0.1,N,numberOfPatients4
439,-0.03,0.1,N,numberOfPatients5
440,-0.08,-0.02,Y,numberOfPatients6
441,-0.03,0.08,N,numberOfPatients7
442,-0.12,-0.01,Y,numberOfPatients8
443,-0.07,0.05,N,numberOfPatients9
444,-0.04,0.06,N,numberOfPatients10
445,-0.05,0.08,N,numberOfPatients11
446,-0.06,0.06,N,numberOfPatients12
447,-0.05,0.04,N,numberOfPatients13
448,-0.05,0.05,N,numberOfPatientsMR0
449,-0.05,0.09,N,numberOfPatientsMR1
450,0.02,0.15,Y,numberOfPatientsMR2
451,-0.0,0.01,N,numberOfPatientsMR3
452,-0.06,0.0,N,numberOfPatientsMR4
453,-0.03,0.09,N,numberOfPatientsMR5
454,-0.04,0.09,N,numberOfPatientsMR6
455,-0.08,0.06,N,numberOfPatientsMR7
456,-0.04,0.0,N,numberOfPatientsMR8
457,-0.01,0.14,N,numberOfPatientsMR9
458,-0.04,0.06,N,numberOfPatientsMR10
459,-0.04,0.1,N,numberOfPatientsMR11
460,-0.04,0.1,N,numberOfPatientsMR12
461,-0.03,0.0,N,numberOfPatientsMR13
462,-0.02,0.1,N,neighbor_AMG0
463,-0.0,0.0,N,neighbor_AMG1
464,0.01,0.15,Y,neighbor_AMG2
465,-0.08,0.02,N,neighbor_AMG3
466,-0.05,0.04,N,neighbor_AMG4
467,-0.03,0.0,N,neighbor_AMG5
468,-0.0,0.11,N,neighbor_AMG6
469,-0.03,0.07,N,neighbor_AMG7
470,-0.01,0.2,N,neighbor_AMG8
471,-0.0,0.0,N,neighbor_AMG9
472,-0.0,0.0,N,neighbor_AMG10
473,-0.01,0.12,N,neighbor_AMG11
474,-0.01,0.09,N,neighbor_AMG12
475,-0.01,0.07,N,neighbor_AMG13
476,-0.0,0.41,N,neighbor_ATF0
477,0.01,0.12,Y,neighbor_ATF1
478,0.07,0.17,Y,neighbor_ATF2
479,-0.06,0.05,N,neighbor_ATF3
480,-0.1,0.06,N,neighbor_ATF4
481,-0.05,0.07,N,neighbor_ATF5
482,-0.03,0.08,N,neighbor_ATF6
483,-0.0,0.12,N,neighbor_ATF7
484,-0.04,0.07,N,neighbor_ATF8
485,-0.04,0.09,N,neighbor_ATF9
486,-0.03,0.07,N,neighbor_ATF10
487,0.0,0.14,N,neighbor_ATF11
